hub_name,beat_index,daily_beat,shipments,old_dailybeat,flag
SATELLITEHUB_FKBGR,1.2,0.99,174,1,0
SATELLITEHUB_WFL3,1.4,0.88,209.4,1,0
SATELLITEHUB_YEL,1.2,0.62,172.8,1,0
BULKHUB_BLRF2,1.3,0.51,138.1,1,0
BULKHUB_BLR,1.1,0.98,234.6,1,0
SATELLITEHUB_WFL2,1,1,193.9,1,0
SATELLITEHUB_SJPR,1.1,0.74,90.4,1,0
SATELLITEHUB_MHP1,1.1,0.86,174,1,0
Satellitehub_WFL,1.2,0.73,361.4,1,0
SATELLITEHUB_YWP1,1.2,0.78,163.5,1,0
SATELLITEHUB_BGR,1.4,0.86,130.8,1,0
BULKHUB_FKBLR2,1.1,0.81,122.7,1,0
Satellitehub_DBP,1.7,0.55,60.5,1,0
BULKHUB_BLR2,1.1,0.86,139.1,1,0
Satellitehub_TUM,1.9,0.45,72.6,0.56,0
Satellitehub_NSP,2.2,0,126.6,0.98,0
SATELLITEHUB_HOSF1,1.7,0.68,172.3,0.93,0
Satellitehub_RAM,1.4,0.4,68.2,0.97,0
SATELLITEHUB_NSPA,1.1,0.76,91.2,0.93,0
SATELLITEHUB_MYS,1.9,0.33,90.7,0.95,0
Satellitehub_FKMYS,1.4,0.86,121.3,0.94,0
SATELLITEHUB_MDY,2.3,0.57,60.4,0.44,1
SATELLITEHUB_MDKR,2.1,0,48.6,0,0
SATELLITEHUB_HSN,1.8,0.31,120.5,0.78,0
SATELLITEHUB_UDP,1.8,0.53,134.4,0.89,0
SATELLITEHUB_FKMLR,1.7,0.65,227.6,1,0
Satellitehub_DVG,3.1,0,91.4,0.71,0
SATELLITEHUB_BDV,3.5,0,50.4,0.55,0
SATELLITEHUB_SMG,2.8,0.52,76.4,0.81,0
Satellitehub_DVGA,2.2,0,48.2,0.66,0
Satellitehub_HBL,3,0.56,57.4,0.71,0
Satellitehub_HAV,2.2,0,48.4,0,0
Satellitehub_KRW,2.1,0,65.3,0.82,0
SATELLITEHUB_BLY,1.1,0.49,64,0.83,0
SATELLITEHUB_BJP,3.1,0.51,66.9,0.4,1
SATELLITEHUB_BGK,3.7,0,57.5,0.67,0
SATELLITEHUB_BLG,1.3,0.62,55.3,0.75,0
SATELLITEHUB_BLGF1,4.3,0,24.2,0,0
SATELLITEHUB_FKCHN1,1.1,0.84,245.9,0.94,0
SATELLITEHUB_CHN,1.1,0.84,465.8,1,0
SATELLITEHUB_GDY,1.3,0.74,136.4,1,0
SATELLITEHUB_FKTMB,1.4,0.79,236.8,1,0
SATELLITEHUB_TMB2,1.4,0.76,167.3,1,0
SATELLITEHUB_TMB1,1.2,0.72,138,1,0
Satellitehub_ANN,1.2,0.81,166.4,0.91,0
SATELLITEHUB_SRP,1.8,0.29,92.7,1,0
SATELLITEHUB_FKTMB1,1.3,0.4,151.4,1,0
Satellitehub_MLMR,4.1,0,59.3,0,0
SATELLITEHUB_VPM,3.4,0,73,0.83,0
SATELLITEHUB_PCY,1.5,0.94,119.6,1,0
Satellitehub_TML,3.1,0,79.4,0.6,0
Satellitehub_KLKR,2.9,0,71.3,0.51,0
SATELLITEHUB_CUD,1.7,0,141.4,0.88,0
Satellitehub_PBLR,4.2,0,83.8,0,0
SATELLITEHUB_KMBK,1.9,0,73.2,0,0
Satellitehub_KRKL,2.3,0.41,92.6,0.93,0
Satellitehub_TNJR,38,0,4.6,0,0
SATELLITEHUB_PTKI,3.5,0,39.5,0,0
Satellitehub_PDKT,3.3,0,63.7,0,0
SATELLITEHUB_TRY,1.9,0.55,180.7,0.97,0
SATELLITEHUB_KRR,2.6,0,67.5,0,0
Satellitehub_RMPM,3.4,0,71,0,0
SATELLITEHUB_DND,2.6,0.43,81.7,0,1
SATELLITEHUB_KDKL,3.7,0,9.4,0,0
SATELLITEHUB_TENI,3,0,46.1,0,0
Satellitehub_SVK,2.2,0,95.9,0.4,0
Satellitehub_NGR,1.5,0.77,94.2,0,1
SATELLITEHUB_TKSI,2.8,0,50.7,0,0
Satellitehub_MRDM,1.2,0.61,56.8,0,1
SATELLITEHUB_DHP,1.9,0,113.7,0.21,0
SATELLITEHUB_FKSLM,1.6,0.71,159,0.75,0
SATELLITEHUB_ATYR,2.5,0,68.5,0.55,0
SATELLITEHUB_NMKL,2.3,0,90.6,0,0
SATELLITEHUB_ERD,1.5,0.46,144,0.76,0
Satellitehub_TRP,1.1,0.87,196.5,0.9,0
SATELLITEHUB_DPM,2.8,0,12.6,0,0
Satellitehub_CMB,1.2,0.67,192,0.96,0
Satellitehub_CJB,1,1,169.4,0.88,1
Satellitehub_CBE,1.2,0.43,88.1,0.86,0
Satellitehub_POY,1.6,0,65.9,0,0
Satellitehub_CAN,1.2,0.63,115.7,1,0
Satellitehub_TLY,1.2,0.4,83.9,0,1
SATELLITEHUB_PYNR,1.5,0,23.2,0,0
SATELLITEHUB_WYND,1.5,0.44,66.8,0,1
SATELLITEHUB_KSGD,1.2,0.65,60.9,0,1
Satellitehub_CCJ,1.4,0.97,78.5,1,0
SATELLITEHUB_CCJA,1,1,35.1,0,1
Satellitehub_BDA,1.3,0.63,100,0,1
SATELLITEHUB_MPM,1.3,0.53,136.5,0.95,0
Satellitehub_TIR,1,1,31.3,0,1
SATELLITEHUB_SRR,1.4,0,24.6,0,0
Satellitehub_ANK,1.1,0.84,133.2,0.97,0
Satellitehub_COKA,1.1,0.75,99,0,1
SATELLITEHUB_COK1,1.3,0.58,97.9,0.65,0
SATELLITEHUB_MVPA,1.4,0.36,104.7,0,1
Satellitehub_IDKI,,,0,0,0
SATELLITEHUB_KTY,1.4,0,24.9,0.81,0
SATELLITEHUB_PMT,1.6,0,108.9,0,0
SATELLITEHUB_APE,1.2,0.63,115.1,0.94,0
satellitehub_KYKM,1.4,0.34,96.2,0,1
Satellitehub_KTRA,,,0,0,0
SATELLITEHUB_KLM,1.1,0.88,198.4,1,0
SATELLITEHUB_TVM,1.3,0.96,112.7,0,1
Satellitehub_TVMA,1.4,0.93,80.9,0,1
Satellitehub_TVM1,1.2,0.96,178.4,0,1
SATELLITEHUB_NYKA,1.2,0.8,85.4,0,1
SatelliteHub_TTL,1.2,0.55,111.4,1,0
BulkHub_KOL8,1.5,0.11,255.7,0.98,0
SatelliteHub_MHST,1.3,0.51,183.7,1,0
SatelliteHub_KOL11,1.2,0.68,320.5,1,0
Satellitehub_RUBY,1.4,0.5,241.1,1,0
SatelliteHub_JADV,1.2,0.55,159.2,1,0
Bulkhub_KOL10,1.6,0.33,187.3,1,0
Satellitehub_STHP,1.2,0.68,134.9,0.97,0
SatelliteHub_FKHWH,1.3,0.51,258.1,0.71,0
Satellitehub_PKU,1.5,0.27,114.7,0.58,0
SatelliteHub_FKCGR,1.2,0.93,128.8,1,0
SatelliteHub_CGR,1.8,0,60.1,0.45,0
Satellitehub_FKABG,2.2,0,46.6,0,0
Satellitehub_FKBWN,1.8,0,39.1,0.54,0
Satellitehub_DGPR6,1.7,0.54,59.1,0,1
Satellitehub_FKASL,1.8,0.53,114,0,1
Satellitehub_FKKNG,2,0.39,153.3,0,1
SatelliteHub_FKCNT,1.2,0.53,51.9,0.42,1
Satellitehub_FKPRR,3,0,69.1,0,0
Satellitehub_BRM2,1.4,0,51.1,0,0
Satellitehub_FKMLD,1.7,0.22,145.1,0,1
Satellitehub_FKBGT,1.6,0,21.4,0,0
SatelliteHub_FKRNG,2,0.56,48,0.54,1
SatelliteHub_SLG,1.6,0.53,130.7,0.38,1
Satellitehub_SLG6,1.2,0.8,84.1,0.76,1
SatelliteHub_DJL,,,0,0,0
Satellitehub_MELI,,,0,,0
SatelliteHub_FKGAG,1,1,48.4,0,1
Satellitehub_JRTH,,,0,,0
Satellitehub_FKBRM,2,0.51,113.3,0.37,1
SatelliteHub_DMN,1,1,31.9,0,1
Satellitehub_BBSR,1.2,0.81,308.6,0.96,0
Satellitehub_KHD,1.7,0.38,183.5,1,0
Satellitehub_PUR1,1.7,0,21.2,0.65,0
Satellitehub_JPUR,2.5,0,42.1,0.52,0
SatelliteHub_FKBLU,2.3,0,75.7,0.38,0
Satellitehub_JAJ1,2.8,0,37.2,0.37,0
Satellitehub_FKDHK,1.8,0,78.5,0.33,0
SatelliteHub_PAR,1.8,0,80,0.86,0
Satellitehub_KPA,2.7,0,77.7,0.27,0
SatelliteHub_JAJ,2,0.41,66,0.31,1
SatelliteHub_FKBPO,2.9,0,48,0.56,0
Satellitehub_KJR,3.3,0,10.7,0.64,0
SatelliteHub_FKANGL,1.1,0.82,134,0.56,1
SatelliteHub_BDH,6.5,0,26.8,0,0
Satellitehub_BER9,1.6,0.24,235.7,0.89,0
SatelliteHub_FKPLH,2.2,0,31.4,0,0
SatelliteHub_FKKRPU,2.9,0,73.5,0.7,0
SatelliteHub_FKRGDA,1,1,29.7,0.56,1
SatelliteHub_FKBWIP,2.1,0,64.8,0,0
SatelliteHub_FKBLGR,1.9,0.62,54.3,0,1
SatelliteHub_BRH1,4.7,0,30.1,0,0
SatelliteHub_FKSAM,2.9,0,60.5,0.55,0
Satellitehub_FKJSG,1.7,0.25,123.4,0.67,0
SatelliteHub_RKL,1.4,0.45,73.9,0.73,0
Satellitehub_GUW,1.1,0.69,381.1,0.96,0
Satellitehub_GUW2,1.2,0.6,107.7,0,1
Satellitehub_FKMAN,2.1,0,82.2,0.83,0
SatelliteHub_FKNLV,2.5,0,41.9,0.81,0
Satellitehub_BOKO,1.6,0,41.8,0,0
SatelliteHub_NLV1,3.1,0,67.3,0,0
Satellitehub_FKBPRD,2,0.43,65,0.64,0
SatelliteHub_MGN,2.2,0,47.9,0,0
SatelliteHub_FKHJI,3,0,35.2,0.57,0
SatelliteHub_DPU,2.4,0,43.8,0,0
SatelliteHub_FKGLPT,2.7,0,26,0,0
SatelliteHub_DBI,1.9,0.91,36.5,0,1
Satellitehub_FKBON,1.7,0.43,79.8,0.66,0
Satellitehub_FKTEZ,1.4,0,50.5,0,0
SatelliteHub_FKNLP,1.4,0.51,76.7,1,0
SatelliteHub_GPH,,,0,,0
Satellitehub_FKJOR,2,0.26,145,1,0
Satellitehub_SRU,3,0,23.3,0,0
Satellitehub_BKK1,1.4,0.49,74.8,0,1
Satellitehub_FKSRN,1.5,0,46.5,0.61,0
Satellitehub_DIB,1.7,0.55,63.1,0,1
Satellitehub_FKTSK,1.3,0.67,159.7,0,1
SatelliteHub_FKSIL,1.8,0.29,120,0.68,0
Satellitehub_HKD,21.9,0,1.6,0,0
SatelliteHub_HLF,1.7,0,21,0,0
Satellitehub_PSG,1.4,0,24.5,1,0
SatelliteHub_NHL,1.3,0.83,78.7,0,1
SatelliteHub_ITA,1,1,59.4,0,1
SatelliteHub_SHL,7.5,0,14,0,0
SatelliteHub_JNH,1,1,28.4,0,1
SatelliteHub_AJL,1,1,67.8,0,1
Satellitehub_LGI,7.3,0,4.8,0,0
Satellitehub_LWT,10.6,0,3.3,0,0
SatelliteHub_KMA,1,1,41.2,0,1
SatelliteHub_DMP,1.3,0.88,88.2,0,1
Satellitehub_MOKO,2.1,0,16.5,0,0
Satellitehub_FKIXA,1.5,0.29,209.5,0.96,0
Satellitehub_BLO,1.5,0.71,46.4,0,1
SatelliteHub_TLM,1,1,33.3,0,1
SatelliteHub_ABA,2,0,17.2,0,0
Satellitehub_FKPSG,1,1,93.5,1,0
Satellitehub_FKJHD,2.1,0,82,0.9,0
